Lot_Frontage,Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Exter_Cond,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Longitude,Latitude,Sale_Price
24,2544,Twnhs,Two_Story,Average,2005,Typical,600,600,636,2,1,2,1,0,-93.64489,42.047782,152000
0,2117,Twnhs,Two_Story,Average,2000,Typical,756,769,804,2,1,3,1,0,-93.645606,42.046145,177500
0,2980,TwnhsE,Two_Story,Average,2000,Typical,756,756,756,2,1,2,1,0,-93.645585,42.046145,177000
24,2572,Twnhs,Two_Story,Average,1999,Typical,696,696,720,2,1,3,1,0,-93.645482,42.046424,155000
0,2403,TwnhsE,Two_Story,Average,2003,Typical,530,530,550,2,1,2,1,0,-93.645478,42.046114,147110
68,7379,OneFam,Two_Story,Average,2000,Typical,975,975,873,2,1,3,1,1,-93.643556,42.04638,254000
30,4420,TwnhsE,One_Story,Average,1980,Typical,728,788,0,1,0,1,1,1,-93.649361,42.042565,155000
40,3880,Twnhs,One_Story,Above_Average,1978,Typical,1226,1226,0,1,0,1,1,1,-93.648143,42.043704,206000
0,13517,OneFam,Two_Story,Very_Good,1976,Typical,725,725,754,2,1,3,1,0,-93.65921,42.034561,130500
80,8000,OneFam,One_Story,Average,2002,Typical,1492,1492,0,2,0,3,1,1,-93.639516,42.048606,230000
0,10456,OneFam,One_Story,Above_Average,1967,Typical,1829,1829,0,2,0,4,1,0,-93.633351,42.046322,218500
80,10791,OneFam,Two_Story,Average,1993,Typical,1280,1280,1215,2,1,4,1,1,-93.636879,42.043038,243500
0,10603,OneFam,One_Story,Good,1977,Typical,1610,1610,0,2,0,3,1,2,-93.637463,42.043306,205000
0,18837,OneFam,One_and_Half_Fin,Average,1978,Typical,1224,1287,604,3,0,3,1,1,-93.637531,42.043306,212500
80,10421,OneFam,Two_Story,Average,1988,Typical,980,980,734,2,1,3,1,1,-93.637788,42.043329,196500
78,9360,OneFam,One_Story,Good,1972,Typical,1161,1381,0,1,1,3,1,1,-93.631435,42.043822,197500
80,9600,OneFam,Two_Story,Above_Average,1971,Typical,715,930,715,1,2,4,1,0,-93.632554,42.043821,171000
80,9600,OneFam,One_Story,Average,1966,Typical,1232,1232,0,1,1,3,1,0,-93.626137,42.046574,142250
0,9790,OneFam,One_Story,Average,1963,Typical,1328,1328,0,1,1,3,1,2,-93.625926,42.042205,143000
77,9320,OneFam,One_Story,Average,1959,Typical,950,1225,0,1,1,3,1,0,-93.623383,42.043363,128950
90,9900,OneFam,One_Story,Average,1966,Typical,1209,1209,0,1,0,3,1,0,-93.626939,42.039085,159000
88,9680,OneFam,One_Story,Above_Average,1967,Typical,1510,1510,0,2,0,3,1,0,-93.627536,42.038971,178900
0,14112,OneFam,SLvl,Good,1964,Typical,1152,1152,0,1,0,3,1,1,-93.627809,42.041146,180500
68,9717,OneFam,One_Story,Above_Average,1950,Typical,1078,1078,0,1,0,2,1,0,-93.622864,42.039211,142125
68,9724,OneFam,One_and_Half_Fin,Good,1952,Typical,1140,1929,532,2,0,3,1,2,-93.620651,42.039211,197600
120,17360,OneFam,One_and_Half_Fin,Above_Average,1949,Good,782,1019,537,2,0,3,1,1,-93.620504,42.038538,172500
50,7207,OneFam,One_Story,Good,1958,Good,858,858,0,1,0,2,1,0,-93.629287,42.035256,116500
55,5350,OneFam,One_Story,Poor,1940,Poor,728,1306,0,1,0,3,1,0,-93.629313,42.035482,76500
80,9920,OneFam,One_Story,Average,1954,Typical,1056,1063,0,1,0,3,1,0,-93.62475,42.035943,128000
80,9600,OneFam,SLvl,Above_Average,1955,Typical,1156,1520,0,1,0,3,1,2,-93.624601,42.036095,153000
78,7800,OneFam,One_Story,Above_Average,1954,Typical,1268,1268,0,1,0,2,1,1,-93.621431,42.037424,132000
75,11380,OneFam,SFoyer,Very_Good,1966,Typical,1080,1128,0,1,0,2,1,1,-93.618221,42.048494,178000
80,11600,Duplex,Two_Story,Average,1960,Typical,1105,1105,1169,2,0,5,2,0,-93.6184183,42.0459375,154300
0,19900,OneFam,One_Story,Average,1970,Typical,1947,2207,0,2,0,3,1,1,-93.614307,42.049514,180000
137,16492,OneFam,One_Story,Above_Average,1966,Typical,1517,1888,0,2,1,2,1,1,-93.614244,42.047447,190000
70,8267,Duplex,One_Story,Average,1958,Typical,1604,1604,0,2,0,4,2,0,-93.617693,42.044895,135000
70,8197,OneFam,One_Story,Average,2003,Typical,1480,1480,0,2,0,3,1,0,-93.617553,42.043984,214000
0,8050,OneFam,One_Story,Average,1959,Typical,1143,1143,0,1,0,3,1,0,-93.617117,42.042908,136000
70,10552,OneFam,One_Story,Average,1959,Typical,1398,1700,0,1,1,4,1,1,-93.6177041,42.0430839,165500
70,8400,OneFam,One_Story,Above_Average,1957,Good,1314,1314,0,1,0,3,1,0,-93.618626,42.044847,145000
73,8760,OneFam,One_Story,Above_Average,1959,Typical,1194,1194,0,1,0,3,1,0,-93.616582,42.043969,148000
73,9300,OneFam,One_Story,Average,1960,Typical,1268,1264,0,1,0,3,1,2,-93.613301,42.044176,167500
87,10725,OneFam,One_Story,Average,1959,Typical,1206,1206,0,1,0,3,1,0,-93.61513,42.044883,108538
80,10032,OneFam,One_Story,Average,1959,Typical,1244,1580,0,1,1,3,1,2,-93.614241,42.0435919,159500
60,8382,OneFam,One_and_Half_Fin,Average,1956,Typical,832,832,505,1,0,3,1,0,-93.613624,42.042308,108000
60,10950,OneFam,One_Story,Good,1952,Typical,864,1064,0,1,0,2,1,0,-93.615622,42.040396,135000
119,10895,OneFam,One_Story,Above_Average,1955,Good,972,972,0,1,0,3,1,0,-93.617092,42.04137,122500
65,7898,OneFam,One_Story,Good,1920,Typical,576,985,0,1,0,2,1,0,-93.615475,42.038443,105000
60,7200,OneFam,One_Story,Good,1955,Typical,0,827,0,1,0,2,1,1,-93.611642,42.038521,107500
85,10200,OneFam,One_Story,Good,1954,Typical,1086,1086,0,1,0,3,1,0,-93.618788,42.038249,144900
74,5868,OneFam,One_Story,Good,1956,Typical,936,936,0,1,0,2,1,0,-93.6192014,42.0381282,129000
64,6979,Duplex,SFoyer,Average,1980,Typical,1056,1056,0,0,0,0,2,0,-93.6116762,42.0372097,144000
0,9830,OneFam,One_Story,Good,1959,Good,1063,1287,0,1,0,3,1,1,-93.607275,42.040085,162000
96,11275,OneFam,SLvl,Good,1967,Good,710,1898,1080,2,1,5,1,1,-93.606905,42.041119,242000
60,8064,OneFam,One_and_Half_Fin,Very_Good,1948,Typical,816,816,408,1,0,3,1,0,-93.61061,42.035867,132000
75,7500,OneFam,One_Story,Good,1959,Typical,1246,1246,0,1,1,3,1,0,-93.605969,42.03594,154000
71,8520,OneFam,One_and_Half_Fin,Below_Average,1952,Fair,910,910,475,2,0,4,1,0,-93.609218,42.0347571,166000
60,7200,OneFam,One_Story,Good,1951,Typical,900,900,0,1,0,3,1,0,-93.607801,42.034848,134800
87,10000,OneFam,One_Story,Above_Average,1962,Typical,1116,1116,0,1,1,3,1,0,-93.605943,42.034748,160000
81,7635,OneFam,One_Story,Above_Average,1960,Typical,1175,1175,0,1,1,3,1,0,-93.606742,42.034851,148000
80,9760,OneFam,One_Story,Good,1963,Typical,1395,1395,0,1,0,2,1,1,-93.604835,42.036873,192000
70,7700,OneFam,Two_Story,Average,1966,Typical,756,1051,788,1,1,4,1,1,-93.603705,42.037093,155000
55,8800,OneFam,One_and_Half_Fin,Good,1910,Typical,576,792,348,1,0,3,1,0,-93.617135,42.032134,96500
56,4485,OneFam,One_Story,Good,1920,Typical,936,936,0,1,0,2,1,1,-93.62024,42.031363,109500
56,8960,OneFam,One_Story,Above_Average,1927,Typical,1008,1028,0,1,0,2,1,1,-93.620241,42.031381,115000
69,5805,OneFam,One_Story,Good,1957,Typical,1347,1347,0,1,0,3,1,0,-93.6179112,42.0303783,143000
60,5790,OneFam,Two_Story,Above_Average,1915,Good,840,840,765,2,0,3,2,0,-93.614002,42.033279,107400
47,4608,OneFam,One_Story,Above_Average,1945,Good,747,747,0,1,0,2,1,0,-93.615431,42.033644,80000
50,5500,OneFam,One_and_Half_Fin,Good,1929,Typical,926,926,0,1,0,3,1,0,-93.608954,42.03128,130000
50,6900,OneFam,One_and_Half_Fin,Good,1938,Typical,827,827,424,1,0,3,1,0,-93.6090761,42.0303113,119000
69,11851,OneFam,One_and_Half_Fin,Good,1948,Good,1027,1027,606,1,0,3,1,1,-93.610466,42.030383,129000
0,8239,OneFam,One_and_Half_Fin,Above_Average,1920,Typical,1008,1060,185,1,0,3,1,0,-93.610468,42.030467,100000
60,8520,OneFam,One_Story,Very_Good,1928,Good,624,720,0,1,0,2,1,0,-93.606789,42.030331,105900
60,10800,OneFam,One_and_Half_Fin,Above_Average,1915,Good,686,966,686,2,0,4,1,0,-93.610588,42.029146,139000
50,9000,OneFam,Two_Story,Excellent,1890,Good,346,1157,1111,3,0,3,1,0,-93.61221,42.028145,240000
90,7407,OneFam,One_Story,Good,1957,Typical,912,1236,0,1,0,2,1,0,-93.608246,42.03005,149700
60,7740,OneFam,Two_Story,Good,1910,Typical,622,741,622,1,0,3,1,0,-93.607238,42.028164,125500
60,11340,TwoFmCon,Two_Story,Above_Average,1885,Typical,777,1246,1044,2,0,4,2,0,-93.608752,42.02916,122500
60,10560,OneFam,Two_Story,Good,1922,Typical,738,868,602,1,1,2,1,0,-93.607088,42.028165,140750
53,5830,OneFam,One_and_Half_Fin,Above_Average,1950,Good,988,1030,582,1,1,3,1,0,-93.625737,42.033642,128500
0,7793,OneFam,Two_and_Half_Unf,Good,1922,Typical,1108,1160,908,1,1,3,1,1,-93.625825,42.030187,209500
50,5000,OneFam,One_Story,Good,1925,Typical,765,765,0,1,0,2,1,0,-93.625586,42.033621,87000
50,6000,OneFam,One_and_Half_Fin,Above_Average,1940,Good,572,848,348,1,1,3,1,2,-93.622597,42.0336,128000
53,6360,OneFam,One_and_Half_Fin,Above_Average,1942,Typical,835,955,498,1,1,3,1,2,-93.623523,42.033665,132000
50,6000,OneFam,One_and_Half_Fin,Good,1948,Typical,780,780,636,1,1,3,1,0,-93.622448,42.033631,139900
52,6240,OneFam,One_and_Half_Fin,Good,1936,Typical,528,548,492,1,0,2,1,0,-93.623483,42.031556,123900
52,6240,OneFam,One_and_Half_Fin,Average,1930,Typical,928,928,608,2,0,4,1,1,-93.621482,42.031337,138400
51,6120,OneFam,One_Story,Average,1923,Typical,1124,1068,0,1,0,2,1,1,-93.620409,42.032302,109500
50,10300,OneFam,Two_Story,Above_Average,1921,Typical,576,902,808,2,0,3,1,0,-93.62338,42.027986,140000
57,8094,OneFam,One_and_Half_Fin,Average,1915,Fair,888,888,1074,1,1,4,1,1,-93.621674,42.028888,149500
60,12900,OneFam,Two_Story,Very_Good,1912,Good,780,780,780,1,1,3,1,0,-93.621835,42.028875,159900
52,3068,OneFam,Two_Story,Very_Good,1920,Good,662,662,662,1,0,3,1,0,-93.621632,42.026914,122000
110,8472,Duplex,One_Story,Average,1963,Typical,816,816,0,1,0,2,1,0,-93.629495,42.020693,110000
70,5600,TwoFmCon,Two_Story,Average,1930,Fair,0,372,720,2,0,3,2,0,-93.626876,42.024141,55000
76,7630,TwoFmCon,Two_Story,Excellent,1900,Good,360,1032,780,2,0,4,2,1,-93.620386,42.026741,140000
0,24090,OneFam,Two_Story,Good,1940,Good,1032,1207,1196,2,0,4,1,2,-93.656231,42.033454,244400
100,15263,OneFam,One_Story,Average,1959,Typical,1422,1675,0,2,0,3,1,2,-93.655538,42.032432,173000
72,10632,OneFam,One_and_Half_Fin,Fair,1917,Typical,689,725,499,1,1,3,1,0,-93.658265,42.028256,107500
60,9900,TwoFmCon,One_and_Half_Fin,Below_Average,1915,Fair,1212,1212,180,1,0,3,1,0,-93.656924,42.026752,100000
65,6001,OneFam,One_and_Half_Fin,Average,1940,Typical,600,600,319,1,0,3,1,0,-93.658081,42.02616,95000
60,6048,TwoFmCon,One_and_Half_Fin,Good,1910,Good,856,936,744,2,0,2,2,1,-93.655849,42.022825,114900
54,6342,OneFam,One_and_Half_Fin,Very_Good,1875,Good,780,780,240,1,0,2,1,0,-93.672036,42.034451,94000
72,10773,Duplex,One_Story,Fair,1967,Fair,1832,1832,0,2,0,4,2,0,-93.671021,42.033386,136000
72,10778,Duplex,One_Story,Average,1968,Typical,1768,1768,0,2,0,4,2,0,-93.671076,42.033387,136500
75,11625,TwoFmCon,One_Story,Below_Average,1965,Typical,1039,1039,0,1,1,3,1,0,-93.673401,42.033008,131500
0,11341,OneFam,One_Story,Above_Average,1957,Typical,1392,1392,0,1,1,3,1,1,-93.672381,42.03237,121500
70,8521,OneFam,One_Story,Average,1967,Typical,912,912,0,1,0,3,1,1,-93.678141,42.029867,125000
0,8246,OneFam,One_Story,Very_Good,1968,Good,1060,1060,0,1,0,3,1,1,-93.676659,42.03069,154000
65,7800,OneFam,One_Story,Good,1966,Typical,864,892,0,1,0,3,1,0,-93.677992,42.029924,137900
80,9364,OneFam,Two_Story,Good,1969,Typical,663,663,689,1,1,4,1,0,-93.676654,42.029731,158000
65,7832,OneFam,One_Story,Average,1968,Typical,864,864,0,1,0,2,1,0,-93.676674,42.030519,137250
0,7424,Duplex,SFoyer,Average,1978,Typical,1319,1373,0,1,0,3,1,2,-93.671511,42.031187,160250
86,11227,OneFam,Two_Story,Average,1968,Good,720,720,720,1,1,4,1,2,-93.673565,42.03136,163000
80,14000,OneFam,Two_Story,Average,1996,Typical,1306,1306,954,2,1,3,1,0,-93.670503,42.030082,328000
0,20062,OneFam,One_Story,Good,1977,Good,1420,1483,0,1,1,1,1,2,-93.670114,42.03009,270000
94,9259,OneFam,One_Story,Below_Average,1927,Typical,660,756,0,1,0,2,1,0,-93.663619,42.03387,85000
60,9600,OneFam,One_Story,Good,1950,Typical,1067,1067,0,2,0,2,1,0,-93.668378,42.032164,128000
0,23595,OneFam,One_Story,Above_Average,1979,Typical,1332,1332,192,0,1,0,1,1,-93.667904,42.026547,260000
0,17082,OneFam,Two_Story,Average,1978,Typical,1117,1117,864,2,1,4,1,1,-93.675038,42.024673,230000
124,18600,OneFam,One_and_Half_Fin,Below_Average,1938,Typical,972,1052,558,2,0,4,1,1,-93.671178,42.023079,124000
65,11479,OneFam,One_Story,Good,1950,Typical,663,1074,0,1,0,3,1,1,-93.66357,42.026533,144500
68,9571,OneFam,One_Story,Above_Average,1956,Typical,1144,1144,0,1,0,3,1,0,-93.667708,42.024208,129000
50,9350,OneFam,One_and_Half_Fin,Above_Average,1947,Typical,756,1169,0,1,0,3,1,1,-93.66526,42.025173,127000
75,9525,OneFam,One_Story,Good,1954,Typical,1172,1172,0,1,0,3,1,0,-93.666097,42.02526,128000
83,10420,OneFam,One_Story,Average,2009,Typical,1212,1212,0,2,0,3,1,0,-93.6658876,42.0247497,186000
0,11200,OneFam,One_Story,Fair,1964,Fair,1250,1298,0,2,0,3,1,0,-93.663367,42.025019,114000
77,9206,OneFam,Two_Story,Average,1985,Typical,741,977,755,2,1,3,1,1,-93.685001,42.03374,178000
83,11980,OneFam,One_Story,Average,1987,Typical,1433,1433,0,1,1,1,1,2,-93.685988,42.032076,270000
87,12361,OneFam,Two_Story,Good,1993,Good,946,964,838,2,1,3,1,1,-93.683167,42.033783,218000
80,9938,OneFam,Two_Story,Average,1993,Typical,1050,1062,887,2,1,3,1,1,-93.682026,42.03068,236000
73,9069,OneFam,SFoyer,Above_Average,1992,Typical,936,996,0,1,0,2,1,0,-93.6801568,42.0311198,147000
64,10475,OneFam,One_Story,Average,2008,Typical,1694,1694,0,2,0,3,1,0,-93.69019,42.025747,245350
64,6762,OneFam,One_Story,Average,2006,Typical,1187,1208,0,2,0,2,1,0,-93.691269,42.024614,206000
94,10402,OneFam,One_Story,Average,2009,Typical,1226,1226,0,2,0,3,1,0,-93.69245,42.024604,198900
64,7360,OneFam,One_Story,Average,2010,Typical,1222,1222,0,2,0,2,1,0,-93.692521,42.024604,187000
90,12376,OneFam,Two_Story,Average,1990,Typical,1673,1699,1523,3,0,5,1,2,-93.68329,42.030601,320000
82,14235,OneFam,One_and_Half_Fin,Very_Good,1900,Typical,676,831,614,2,0,3,1,0,-93.6801805,42.0298532,138500
80,8816,OneFam,SLvl,Good,1971,Typical,1010,1052,0,1,0,3,1,0,-93.682138,42.024318,155000
82,11105,OneFam,SFoyer,Average,1996,Good,870,965,0,1,0,2,1,0,-93.69188,42.021321,159000
0,9337,OneFam,Two_Story,Average,1997,Typical,878,892,800,2,1,3,1,1,-93.690542,42.018411,191000
70,8750,OneFam,Two_Story,Average,1998,Typical,804,804,878,2,1,3,1,0,-93.688258,42.01867,200500
38,15240,OneFam,One_Story,Very_Good,1977,Good,1026,1026,0,1,1,3,1,0,-93.68773,42.022186,150000
0,10900,OneFam,Two_Story,Good,1977,Typical,689,689,703,1,1,3,1,0,-93.687807,42.022045,161750
75,10650,OneFam,One_Story,Above_Average,1976,Typical,894,894,0,1,0,3,1,0,-93.687745,42.021395,128200
68,7480,OneFam,One_Story,Above_Average,1972,Typical,876,876,0,1,0,3,1,0,-93.683727,42.021133,127000
80,10389,OneFam,One_Story,Average,2003,Typical,1978,1978,0,2,1,3,1,1,-93.687859,42.018662,318000
0,11423,OneFam,One_Story,Average,2001,Typical,1581,1601,0,2,0,3,1,1,-93.685523,42.019069,272000
